Time,Data
489,-0.365
490,-0.3
491,0.084
492,0.144
493,-3.483
494,3.614
495,-1.013
496,5.291
497,-6.917
498,1.616
